timestamp,system_price_jpy_kwh,hokkaido_price_jpy_kwh,tohoku_price_jpy_kwh,tokyo_price_jpy_kwh,chubu_price_jpy_kwh,hokuriku_price_jpy_kwh,kansai_price_jpy_kwh,chugoku_price_jpy_kwh,shikoku_price_jpy_kwh,kyushu_price_jpy_kwh,contract_volume_kwh,sell_bid_volume_kwh,buy_bid_volume_kwh,system_price_jpy_mwh,hokkaido_price_jpy_mwh,tohoku_price_jpy_mwh,tokyo_price_jpy_mwh,chubu_price_jpy_mwh,hokuriku_price_jpy_mwh,kansai_price_jpy_mwh,chugoku_price_jpy_mwh,shikoku_price_jpy_mwh,kyushu_price_jpy_mwh
2025-04-01 00:00:00,13.5,15.41,15.41,15.41,11.0,11.0,11.0,11.0,7.81,11.0,11414250,15558150,15358850,13500.0,15410.0,15410.0,15410.0,11000.0,11000.0,11000.0,11000.0,7810.0,11000.0
2025-04-01 00:30:00,13.22,14.25,14.25,14.25,11.0,11.0,11.0,11.0,7.73,11.0,11350600,16030300,15556550,13220.0,14250.0,14250.0,14250.0,11000.0,11000.0,11000.0,11000.0,7730.0,11000.0
2025-04-01 01:00:00,12.89,14.01,14.01,14.01,10.87,10.87,10.87,10.87,7.78,10.87,11353350,16183050,15639050,12890.0,14010.0,14010.0,14010.0,10870.0,10870.0,10870.0,10870.0,7780.0,10870.0
2025-04-01 01:30:00,12.48,13.93,13.93,13.93,10.87,10.87,10.87,10.87,7.68,10.87,11323350,16372450,15436300,12480.0,13930.0,13930.0,13930.0,10870.0,10870.0,10870.0,10870.0,7680.0,10870.0
2025-04-01 02:00:00,12.5,13.59,13.59,13.59,11.27,11.27,11.27,11.27,7.71,11.27,11222950,16386100,15401600,12500.0,13590.0,13590.0,13590.0,11270.0,11270.0,11270.0,11270.0,7710.0,11270.0
2025-04-01 02:30:00,12.5,13.54,13.54,13.54,12.26,12.26,12.26,12.26,7.78,12.26,11241150,16478900,15502400,12500.0,13540.0,13540.0,13540.0,12260.0,12260.0,12260.0,12260.0,7780.0,12260.0
2025-04-01 03:00:00,12.65,13.47,13.47,13.47,12.38,12.38,12.38,12.38,7.77,12.38,11283000,16783200,15616250,12650.0,13470.0,13470.0,13470.0,12380.0,12380.0,12380.0,12380.0,7770.0,12380.0
2025-04-01 03:30:00,12.89,13.47,13.47,13.47,12.89,12.89,12.89,12.89,7.77,12.89,11315200,16792750,15717300,12890.0,13470.0,13470.0,13470.0,12890.0,12890.0,12890.0,12890.0,7770.0,12890.0
2025-04-01 04:00:00,12.89,13.42,13.42,13.42,13.0,13.0,13.0,13.0,7.79,13.0,11650650,17113850,16103150,12890.0,13420.0,13420.0,13420.0,13000.0,13000.0,13000.0,13000.0,7790.0,13000.0
2025-04-01 04:30:00,12.92,13.42,13.42,13.42,13.0,13.0,13.0,13.0,7.77,13.0,11655650,17122150,16198650,12920.0,13420.0,13420.0,13420.0,13000.0,13000.0,13000.0,13000.0,7770.0,13000.0
2025-04-01 05:00:00,13.22,13.48,13.48,13.48,13.0,13.0,13.0,13.0,7.8,13.0,11753700,17418000,16441050,13220.0,13480.0,13480.0,13480.0,13000.0,13000.0,13000.0,13000.0,7800.0,13000.0
2025-04-01 05:30:00,13.47,13.56,13.56,13.56,13.56,13.56,13.56,13.56,7.82,13.56,12019750,17606850,16873700,13470.0,13560.0,13560.0,13560.0,13560.0,13560.0,13560.0,13560.0,7820.0,13560.0
2025-04-01 06:00:00,14.18,14.9,14.9,14.9,14.9,14.9,14.9,14.9,7.84,14.9,12356500,17609500,17329250,14180.0,14900.0,14900.0,14900.0,14900.0,14900.0,14900.0,14900.0,7840.0,14900.0
2025-04-01 06:30:00,15.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0,7.78,16.0,13052250,17783400,18013300,15000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,16000.0,7780.0,16000.0
2025-04-01 07:00:00,14.74,15.76,15.76,15.76,15.76,15.76,15.76,15.76,7.76,15.76,13659950,18203500,18125200,14740.0,15760.0,15760.0,15760.0,15760.0,15760.0,15760.0,15760.0,7760.0,15760.0
2025-04-01 07:30:00,14.47,15.41,15.41,15.73,15.73,15.73,15.73,15.73,5.1,15.73,14306600,18567300,18462550,14470.0,15410.0,15410.0,15730.0,15730.0,15730.0,15730.0,15730.0,5100.0,15730.0
2025-04-01 08:00:00,15.0,15.73,15.73,15.73,15.73,15.73,15.73,15.73,3.0,15.73,15812450,20059400,20266300,15000.0,15730.0,15730.0,15730.0,15730.0,15730.0,15730.0,15730.0,3000.0,15730.0
2025-04-01 08:30:00,16.0,18.06,18.06,18.06,15.73,15.73,15.73,14.47,0.01,14.47,17098900,21267200,22194400,16000.0,18060.0,18060.0,18060.0,15730.0,15730.0,15730.0,14470.0,10.0,14470.0
2025-04-01 09:00:00,15.73,11.25,19.01,19.01,15.73,15.73,15.73,15.73,0.01,15.73,17290700,21841000,23281450,15730.0,11250.0,19010.0,19010.0,15730.0,15730.0,15730.0,15730.0,10.0,15730.0
2025-04-01 09:30:00,15.73,8.0,16.08,18.23,15.73,15.73,15.73,14.47,0.01,14.47,17590450,22343600,23893000,15730.0,8000.0,16079.999999999998,18230.0,15730.0,15730.0,15730.0,14470.0,10.0,14470.0
2025-04-01 10:00:00,15.73,7.86,15.0,18.18,15.73,15.73,15.73,13.23,0.01,13.23,17549200,22632600,24349850,15730.0,7860.0,15000.0,18180.0,15730.0,15730.0,15730.0,13230.0,10.0,13230.0
2025-04-01 10:30:00,14.43,7.11,15.0,18.28,15.73,15.73,15.73,9.33,0.01,9.33,17719100,23068650,24088450,14430.0,7110.0,15000.0,18280.0,15730.0,15730.0,15730.0,9330.0,10.0,9330.0
2025-04-01 11:00:00,13.94,7.11,15.0,18.23,15.73,15.73,15.73,8.34,0.01,8.34,17704000,23342200,24154650,13940.0,7110.0,15000.0,18230.0,15730.0,15730.0,15730.0,8340.0,10.0,8340.0
2025-04-01 11:30:00,13.48,7.11,15.0,18.0,12.0,12.0,12.0,8.13,0.01,8.13,17510350,23618500,23716000,13480.0,7110.0,15000.0,18000.0,12000.0,12000.0,12000.0,8130.000000000001,10.0,8130.000000000001
2025-04-01 12:00:00,8.13,7.11,15.0,17.6,4.76,4.76,4.76,4.76,0.01,4.76,16585150,24201200,22537850,8130.000000000001,7110.0,15000.0,17600.0,4760.0,4760.0,4760.0,4760.0,10.0,4760.0
2025-04-01 12:30:00,8.01,8.01,16.0,16.0,4.76,4.76,4.76,4.76,0.01,4.76,16365000,23993850,22776250,8010.0,8010.0,16000.0,16000.0,4760.0,4760.0,4760.0,4760.0,10.0,4760.0
2025-04-01 13:00:00,12.2,10.6,18.0,18.0,7.9,7.9,7.9,7.9,0.01,7.9,16901100,23606400,23948200,12200.0,10600.0,18000.0,18000.0,7900.0,7900.0,7900.0,7900.0,10.0,7900.0
2025-04-01 13:30:00,13.47,10.47,18.28,18.28,8.0,8.0,8.0,8.0,0.01,8.0,16910050,22956450,24038800,13470.0,10470.0,18280.0,18280.0,8000.0,8000.0,8000.0,8000.0,10.0,8000.0
2025-04-01 14:00:00,13.56,11.64,18.37,18.37,8.13,8.13,8.13,8.13,0.01,8.13,16720750,23051400,23325450,13560.0,11640.0,18370.0,18370.0,8130.000000000001,8130.000000000001,8130.000000000001,8130.000000000001,10.0,8130.000000000001
2025-04-01 14:30:00,13.91,10.65,20.0,20.0,8.34,8.34,8.34,8.34,0.01,8.34,16686000,22603150,22506000,13910.0,10650.0,20000.0,20000.0,8340.0,8340.0,8340.0,8340.0,10.0,8340.0
2025-04-01 15:00:00,13.95,18.64,18.64,18.64,8.34,8.34,8.34,8.34,0.01,8.34,16307550,21799150,21311750,13950.0,18640.0,18640.0,18640.0,8340.0,8340.0,8340.0,8340.0,10.0,8340.0
2025-04-01 15:30:00,15.12,20.3,20.3,20.3,14.09,13.0,13.0,12.18,0.01,12.18,16226200,21010650,21261950,15120.0,20300.0,20300.0,20300.0,14090.0,13000.0,13000.0,12180.0,10.0,12180.0
2025-04-01 16:00:00,15.73,20.3,20.3,20.3,14.47,14.47,14.47,14.47,0.01,14.47,16304600,20603900,20898800,15730.0,20300.0,20300.0,20300.0,14470.0,14470.0,14470.0,14470.0,10.0,14470.0
2025-04-01 16:30:00,16.47,20.3,20.3,20.3,15.73,15.73,15.73,15.73,0.01,15.73,15896350,20225550,20744400,16470.0,20300.0,20300.0,20300.0,15730.0,15730.0,15730.0,15730.0,10.0,15730.0
2025-04-01 17:00:00,18.02,20.3,20.3,20.3,15.73,15.73,15.73,15.73,0.01,15.73,15429300,19527200,20488000,18020.0,20300.0,20300.0,20300.0,15730.0,15730.0,15730.0,15730.0,10.0,15730.0
2025-04-01 17:30:00,17.6,20.3,20.3,20.3,15.73,15.73,15.73,15.73,5.0,15.73,15506150,19773600,20597700,17600.0,20300.0,20300.0,20300.0,15730.0,15730.0,15730.0,15730.0,5000.0,15730.0
2025-04-01 18:00:00,18.02,20.3,20.3,20.3,15.73,15.73,15.73,15.73,7.73,15.73,15256150,19211800,20642400,18020.0,20300.0,20300.0,20300.0,15730.0,15730.0,15730.0,15730.0,7730.0,15730.0
2025-04-01 18:30:00,18.3,20.3,20.3,20.3,15.73,15.73,15.73,15.73,7.76,15.73,15213350,19209500,20704250,18300.0,20300.0,20300.0,20300.0,15730.0,15730.0,15730.0,15730.0,7760.0,15730.0
2025-04-01 19:00:00,18.42,20.3,20.3,20.3,18.0,18.0,18.0,18.0,7.78,18.0,15378450,19299050,20616100,18420.0,20300.0,20300.0,20300.0,18000.0,18000.0,18000.0,18000.0,7780.0,18000.0
2025-04-01 19:30:00,15.99,20.0,20.0,20.0,15.73,15.73,15.73,15.73,7.74,15.73,15163700,19394900,20130250,15990.0,20000.0,20000.0,20000.0,15730.0,15730.0,15730.0,15730.0,7740.0,15730.0
2025-04-01 20:00:00,16.0,18.02,18.02,18.02,15.73,15.73,15.73,15.73,7.75,15.73,14531800,19101050,19686550,16000.0,18020.0,18020.0,18020.0,15730.0,15730.0,15730.0,15730.0,7750.0,15730.0
2025-04-01 20:30:00,15.73,16.49,16.49,16.49,15.73,15.73,15.73,15.73,7.78,15.73,14344650,19148600,19107400,15730.0,16490.0,16490.0,16490.0,15730.0,15730.0,15730.0,15730.0,7780.0,15730.0
2025-04-01 21:00:00,15.55,15.73,15.73,15.73,15.73,15.73,15.73,15.73,7.73,15.73,14157600,19171850,18484800,15550.0,15730.0,15730.0,15730.0,15730.0,15730.0,15730.0,15730.0,7730.0,15730.0
2025-04-01 21:30:00,14.88,15.53,15.53,15.53,15.53,15.53,15.53,15.53,7.83,15.53,13999800,18966900,18053400,14880.0,15530.0,15530.0,15530.0,15530.0,15530.0,15530.0,15530.0,7830.0,15530.0
2025-04-01 22:00:00,15.73,16.0,16.0,16.0,15.73,15.73,15.73,15.73,7.81,15.73,13720550,18481050,18355600,15730.0,16000.0,16000.0,16000.0,15730.0,15730.0,15730.0,15730.0,7810.0,15730.0
2025-04-01 22:30:00,14.43,16.47,16.47,16.47,14.18,14.18,14.18,14.18,7.73,14.18,13452450,18341250,17622900,14430.0,16470.0,16470.0,16470.0,14180.0,14180.0,14180.0,14180.0,7730.0,14180.0
2025-04-01 23:00:00,14.01,16.0,16.0,16.0,13.72,13.72,13.72,13.72,7.73,13.72,13305850,17951400,17372550,14010.0,16000.0,16000.0,16000.0,13720.0,13720.0,13720.0,13720.0,7730.0,13720.0
2025-04-01 23:30:00,12.96,14.54,14.54,14.54,10.87,10.87,10.87,10.87,7.69,10.87,12945600,17502700,16392850,12960.0,14540.0,14540.0,14540.0,10870.0,10870.0,10870.0,10870.0,7690.0,10870.0
2025-04-02 00:00:00,12.7,13.63,13.63,13.63,10.29,10.29,10.29,10.29,10.29,10.29,12053550,16617800,14996200,12700.0,13630.0,13630.0,13630.0,10290.0,10290.0,10290.0,10290.0,10290.0,10290.0
2025-04-02 00:30:00,12.2,13.69,13.69,13.69,9.9,9.9,9.9,9.9,9.9,9.9,11990300,17345700,15140550,12200.0,13690.0,13690.0,13690.0,9900.0,9900.0,9900.0,9900.0,9900.0,9900.0
2025-04-02 01:00:00,12.2,13.95,13.95,13.95,11.0,10.27,10.27,10.27,10.27,10.27,11898150,17532250,15262150,12200.0,13950.0,13950.0,13950.0,11000.0,10270.0,10270.0,10270.0,10270.0,10270.0
2025-04-02 01:30:00,11.82,13.83,13.83,13.83,10.27,10.27,10.27,10.27,10.27,10.27,11875400,17698100,15167300,11820.0,13830.0,13830.0,13830.0,10270.0,10270.0,10270.0,10270.0,10270.0,10270.0
2025-04-02 02:00:00,12.0,13.99,13.99,13.99,10.42,10.42,10.42,10.42,10.42,10.42,11860600,17699050,15297600,12000.0,13990.0,13990.0,13990.0,10420.0,10420.0,10420.0,10420.0,10420.0,10420.0
2025-04-02 02:30:00,12.38,13.99,13.99,13.99,10.9,10.9,10.9,10.9,10.9,10.9,11853900,17727800,15596850,12380.0,13990.0,13990.0,13990.0,10900.0,10900.0,10900.0,10900.0,10900.0,10900.0
